Item Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (g),Iron (g)
Barbacoa Burrito,460,16,5.5,0,60,1180,46,2,1,31,6,0,22,30
Barbacoa Burrito Bowl,170,7,2.5,0,60,510,2,0,1,24,6,0,2,15
Barbacoa Tacos w/ Crispy Corn Tortilla,350,13,4,0,60,540,29,3,4,27,6,0,8,21
Barbacoa Tacos w/ Soft Corn Tortilla,380,10,2.5,0,60,555,44,3,1,27,6,0,2,21
Barbacoa Tacos w/ Soft Flour Tortilla,440,15,5.5,0,60,1110,41,3,1,30,6,0,20,27
Black Beans,120,1,0,0,0,250,23,11,0,7,2,2,4,4
Brown Rice,160,4,1,0,0,150,31,2,0,3,0,0,2,2
Caranitas Burrito,480,17,5.5,0,70,1210,45,2,0,34,2,0,22,23
Caranitas Burrito Bowl,190,8,2.5,0,70,540,1,0,0,27,2,0,2,8
Carnitas Tacos w/ Crispy Corn Tortilla,370,14,4,0,70,570,28,3,3,30,2,0,8,14
Carnitas Tacos w/ Soft Corn Tortilla,400,11,2.5,0,70,585,43,3,0,30,2,0,2,14
Carnitas Tacos w/ Soft Flour Tortilla,460,16,5.5,0,70,1140,40,3,0,33,2,0,20,20
Cheese,100,9,5,0,30,180,0,0,0,8,8,0,20,0
Chicken Burrito,480,16,5,0,115,1040,45,2,1,39,10,2,22,23
Chicken Burrito Bowl,190,7,2,0,115,370,1,0,1,32,10,2,2,8
Chicken Tacos w/ Crispy Corn Tortilla,370,13,3.5,0,115,400,28,3,4,35,10,2,8,14
Chicken Tacos w/ Soft Corn Tortilla,400,10,2,0,115,415,43,3,1,35,10,2,2,14
Chicken Tacos w/ Soft Flour Tortilla,460,14,5,0,115,970,40,3,1,38,10,2,20,20
Chips,570,27,3.5,0,0,420,73,8,4,8,0,2,4,6
Chips & Fresh Tomato Salsa,590,27,3.5,0,0,890,77,8,7,9,12,8,6,8
Chips & Guacamole,720,40,5.5,0,0,610,81,14,5,10,4,22,6,8
Chips & Roasted Chili-Corn Salsa,650,29,3.5,0,0,830,88,11,8,11,4,12,4,10
Chips & Tomatillo-Green Chili Salsa,585,27,3.5,0,0,650,76,9,6,9,2,17,6,8
Chips & Tomatillo-Red Chili Salsa,610,28,3.5,0,0,930,81,12,8,10,40,12,6,12
Corn Salsa,80,2,0,0,0,410,15,3,4,3,4,10,0,4
Fajita Veggies,20,1,0,0,0,170,4,1,2,1,4,30,2,2
Green Tomatillo Salsa,15,0,0,0,0,230,3,1,2,1,2,15,2,2
Guacamole,150,13,2,0,0,190,8,6,1,2,4,20,2,2
Lettuce,10,0,0,0,0,5,2,1,1,1,80,30,2,4
Pinto Beans,120,1,0,0,5,330,22,10,0,7,2,2,4,10
Red Tomatillo Salsa,40,1,0,0,0,510,8,4,4,2,40,10,2,6
Salad w/ Barbacoa,180,7,2.5,0,60,515,4,1,2,25,86,30,4,19
Salad w/ Carnitas,200,8,2.5,0,70,545,3,1,1,28,82,30,4,12
Salad w/ Chicken,200,7,2,0,115,375,3,1,2,33,90,32,4,12
Salad w/ Sofritas,155,10,1.5,0,0,560,11,5,6,9,97,53,19,21
Salad w/ Steak,200,7,2,0,65,325,4,1,2,31,82,30,4,19
Sofritas Burrito,445,20,2.5,0,0,1245,55,7,5,15,17,23,37,32
Sofritas Burrito Bowl,145,10,1.5,0,0,555,9,4,5,8,17,23,17,17
Sofritas Tacos w/ Crispy Corn Tortilla,355,18,4.5,0,0,585,39,10,8,11,17,23,23,23
Sofritas Tacos w/ Soft Corn Tortilla,355,10,1.5,0,0,585,54,10,5,11,17,23,23,23
Sofritas Tacos w/ Soft Flour Tortilla,400,18,4.5,0,0,1125,48,7,5,14,17,23,32,32
Sour Cream,120,10,7,0,40,30,2,0,2,2,8,0,4,0
Steak Burrito,480,16,5,0,65,990,46,2,1,37,2,0,22,30
Steak Burrito Bowl,190,7,2,0,65,320,2,0,1,30,2,0,2,15
Steak Tacos w/ Crispy Corn Tortilla,370,13,3.5,0,65,350,29,3,4,33,2,0,8,21
Steak Tacos w/ Soft Corn Tortilla,400,10,2,0,65,365,44,3,1,33,2,0,2,21
Steak Tacos w/ Soft Flour Tortilla,460,14,5,0,65,920,41,3,1,36,2,0,20,27
Tomato Salsa,20,0,0,0,0,470,4,0,3,1,12,6,2,2
Vinaigrette Dressing,260,25,4,0,0,700,12,1,11,0,60,0,0,2
White Rice,170,4,1,0,0,200,31,0,0,3,0,2,2,2
,,,,,,,,,,,,,,
