order_id	quantity	item_name	choice_description	item_price
19	1	Barbacoa Bowl	"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]"	$11.75
27	1	Barbacoa Bowl	"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]"	$11.75
42	1	Barbacoa Bowl	"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream]]"	$9.25
51	1	Barbacoa Bowl	"[[Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium)], [Rice, Pinto Beans, Fajita Veggies, Cheese, Sour Cream, Lettuce]]"	$8.99
56	1	Barbacoa Bowl	"[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Lettuce]]"	$9.25
61	1	Barbacoa Bowl	"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]"	$11.75
97	1	Barbacoa Bowl	"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese]]"	$9.25
110	1	Barbacoa Bowl	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]"	$9.25
182	1	Barbacoa Bowl	"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese]]"	$9.25
202	1	Barbacoa Bowl	"[[Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium)], [Black Beans, Rice, Cheese, Guacamole]]"	$11.48
244	1	Barbacoa Bowl	"[Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce]]"	$9.25
310	1	Barbacoa Bowl	"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]"	$8.99
330	1	Barbacoa Bowl	"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]"	$8.99
331	1	Barbacoa Bowl	"[Tomatillo Red Chili Salsa, [Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese]]"	$9.25
346	1	Barbacoa Bowl	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]"	$9.25
380	1	Barbacoa Bowl	"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]"	$11.75
425	1	Barbacoa Bowl	"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream]]"	$9.25
440	1	Barbacoa Bowl	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]"	$9.25
483	1	Barbacoa Bowl	"[Tomatillo-Green Chili Salsa (Medium), [Black Beans, Rice, Cheese, Guacamole]]"	$11.48
483	1	Barbacoa Bowl	"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]"	$11.48
485	1	Barbacoa Bowl	"[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Pinto Beans, Rice, Fajita Veggies]]"	$8.99
504	1	Barbacoa Bowl	"[Tomatillo-Green Chili Salsa (Medium), [Black Beans, Rice, Cheese, Guacamole]]"	$11.48
504	1	Barbacoa Bowl	"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]"	$11.48
514	1	Barbacoa Bowl	"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Lettuce]]"	$9.25
550	1	Barbacoa Bowl	"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Lettuce]]"	$9.25
554	1	Barbacoa Bowl	"[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce]]"	$9.25
562	1	Barbacoa Bowl	"[[Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium)], [Rice, Fajita Veggies, Guacamole, Lettuce]]"	$11.48
576	1	Barbacoa Bowl	[Tomatillo Red Chili Salsa]	$9.25
576	1	Barbacoa Bowl	[Roasted Chili Corn Salsa]	$9.25
576	1	Barbacoa Bowl	[Roasted Chili Corn Salsa]	$9.25
664	1	Barbacoa Bowl	"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]"	$11.75
